file,tool,input_command,matched_command,chrf_score,match_found
command_chrome_passwords_TA0002_T1059.txt,chrome passwords,chrome-passwords -c,"[meterpreter (PowerShell)\*] > `& ""chrome-passwords.exe""`",59.855,True
command_invoke_psimage_TA0003_T1547.txt,invoke psimage,Invoke-PSImage -Script .\Invoke-Mimikatz.ps1 -Out .\startup.exe -Startup,`Invoke-PSImage -Script .\meterpreter.ps1 -Out .\monkey.png -Image .\monkey.jpg`,47.016,True
command_invoke_psimage_TA0004_T1547.txt,invoke psimage,Invoke-PSImage -Script .\Invoke-Mimikatz.ps1 -Out .\startup.png -Image .\kiwi.jpg -Startup,`Invoke-PSImage -Script .\meterpreter.ps1 -Out .\monkey.png -Image .\monkey.jpg`,52.075,True
command_wmic_TA0007_T1057.txt,wmic,wmic path win32_process get name,"`wmic /node:#{""POS system""} process call create #{""executable""}`",23.52,True
command_wmic_TA0009_T1018.txt,wmic,wmic os get /value,"`wmic /node:#{""POS system""} process call create #{""executable""}`",14.492,True
command_wmic_TA0009_T1018.txt,wmic,"wmic csproduct get vendor, name, version /value","`wmic /node:#{""POS system""} process call create #{""executable""}`",14.781,True
command_wmic_TA0009_T1018.txt,wmic,"wmic cpu get numberofcores, numberoflogicalprocessors, maxclockspeed /value","`wmic /node:#{""POS system""} process call create #{""executable""}`",17.469,True
command_wmic_TA0009_T1018.txt,wmic,"wmic bios get smbiosbiosversion, releasedate /value","`wmic /node:#{""POS system""} process call create #{""executable""}`",15.629,True
command_wmic_TA0009_T1018.txt,wmic,"wmic path win32_process get processid, name, executablepath /value","`wmic /node:#{""POS system""} process call create #{""executable""}`",29.713,True
command_wmic_TA0009_T1082.txt,wmic,wmic os get /value,"`wmic /node:#{""POS system""} process call create #{""executable""}`",14.492,True
command_wmic_TA0009_T1082.txt,wmic,wmic cpu get /value,"`wmic /node:#{""POS system""} process call create #{""executable""}`",14.003,True
command_wmic_TA0009_T1082.txt,wmic,wmic bios get /value,"`wmic /node:#{""POS system""} process call create #{""executable""}`",14.207,True
command_wmic_TA0009_T1082.txt,wmic,wmic process list /output:XML > process_output.xml,"`wmic /node:#{""POS system""} process call create #{""executable""}`",19.744,True
command_wmic_TA0009_T1082.txt,wmic,"wmic path win32_process get name,processid,caption /format:value","`wmic /node:#{""POS system""} process call create #{""executable""}`",18.177,True
